Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,month_name,week_type,week_of_year,lag_1,lag_2,lag_4,lag_52,rolling_4_mean,rolling_4_std,rolling_8_mean,pct_change_1w,pct_change_4w,pre_holiday,post_holiday,is_november,is_december,is_q4,is_summer,quarter,store_tier
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,2010,2,5,Feb,Normal,5,,,,,,,,,,1,0,0,0,0,0,1,Top
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,2010,2,6,Feb,Holiday,6,1643690.9,,,,,,,-0.10546143438525668,,0,0,0,0,0,0,1,Top
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,Feb,Normal,7,1641957.44,1643690.9,,,,,,-1.8264340639669752,,0,1,0,0,0,0,1,Top
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,Feb,Normal,8,1611968.17,1641957.44,,,,,,-12.54618942010498,,0,0,0,0,0,0,1,Top
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,Mar,Normal,9,1409727.59,1611968.17,1643690.9,,1576836.025,112353.41511397276,,10.29128542486708,-5.4075994458568815,0,0,0,0,0,0,1,Top
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,2010,3,10,Mar,Normal,10,1554806.68,1409727.59,1641957.44,,1554614.9699999997,103135.00254832554,,-7.413467634445703,-12.32771599731598,0,0,0,0,0,0,1,Top
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,2010,3,11,Mar,Normal,11,1439541.59,1554806.68,1611968.17,,1504011.0075,95360.05083899511,,2.29060419157463,-8.651062880478577,0,0,0,0,0,0,1,Top
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,2010,3,12,Mar,Normal,12,1472515.79,1439541.59,1409727.59,,1469147.9125,62599.4571500743,,-4.623778601382611,-0.3757938794402227,0,0,0,0,0,0,1,Top
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,2010,4,13,Apr,Normal,13,1404429.92,1472515.79,1554806.68,,1467823.495,64308.38101632066,1522329.76,13.566953913941116,2.583060679929683,0,0,0,0,0,0,2,Top
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,2010,4,14,Apr,Normal,14,1594968.28,1404429.92,1439541.59,,1477863.895,82871.76229599727,1516239.4324999999,-3.106629180111342,7.354906640800829,0,0,0,0,0,0,2,Top
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,2010,4,15,Apr,Normal,15,1545418.53,1594968.28,1472515.79,,1504333.13,83458.04335445474,1504172.06875,-5.135194671180754,-0.4385358747154733,0,0,0,0,0,0,2,Top
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,2010,4,16,Apr,Normal,16,1466058.28,1545418.53,1404429.92,,1502718.7525,84336.49103572944,1485933.3325,-5.102263738110047,-0.9380176121568162,0,0,0,0,0,0,2,Top
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,2010,4,17,Apr,Normal,17,1391256.12,1466058.28,1594968.28,,1499425.3025,89550.29826614384,1483624.3987500002,2.432664231514736,-10.650216191133289,0,0,0,0,0,0,2,Top
